,Albedo_inst,AvgSurfT_inst,CanopInt_inst,ECanop_tavg,ESoil_tavg,Evap_tavg,LWdown_f_tavg,Lwnet_tavg,PotEvap_tavg,Psurf_f_inst,Qair_f_inst,Qg_tavg,Qh_tavg,Qle_tavg,Qs_acc,Qsb_acc,Qsm_acc,Rainf_f_tavg,Rainf_tavg,RootMoist_inst,SWE_inst,SWdown_f_tavg,SnowDepth_inst,Snowf_tavg,SoilMoi0_10cm_inst,SoilMoi100_200cm_inst,SoilMoi10_40cm_inst,SoilMoi40_100cm_inst,SoilTMP0_10cm_inst,SoilTMP100_200cm_inst,SoilTMP10_40cm_inst,SoilTMP40_100cm_inst,Swnet_tavg,Tair_f_inst,Tveg_tavg,Wind_f_inst,geometry
0,13.130000114440918,308.38189697265625,0.0,0.0,8.649999618530273,5.4556785471504554e-05,337.8663330078125,-169.20059204101562,752.3748168945312,98545.53125,0.00535000953823328,109.4737319946289,235.07862854003906,136.46482849121094,0.0,0.006639999803155661,0,0.0,0.0,240.00999450683594,0,746.8699951171875,0,0,17.91900062561035,359.8659973144531,71.43228912353516,150.6580047607422,300.3206787109375,297.4750671386719,295.0956115722656,296.3755798339844,648.8099975585938,303.1234436035156,127.80999755859375,2.3083932399749756,<map object at 0x7f6c67da2da0>
0,13.079999923706055,308.3084716796875,0.0,0.0,8.510000228881836,5.426800998975523e-05,335.5747985839844,-170.4586944580078,770.389404296875,98392.140625,0.005040010437369347,110.40849304199219,238.78866577148438,135.60939025878906,0.0,0.006599999964237213,0,0.0,0.0,238.69400024414062,0,752.2899780273438,0,0,17.82900047302246,359.7860107421875,71.04754638671875,149.8179931640625,300.14764404296875,297.44110107421875,294.6885681152344,296.28057861328125,653.8800048828125,303.055908203125,127.08999633789062,2.500215530395508,<map object at 0x7f6c67c37908>
0,13.029998779296875,308.3486022949219,0.0,0.0,7.929999828338623,5.198899452807382e-05,333.2735900878906,-171.39608764648438,746.0017700195312,98355.5703125,0.005210008472204208,115.58541107177734,240.90989685058594,130.02178955078125,0.0,0.006560000125318766,0,0.0,0.0,237.42300415039062,0,754.8099975585938,0,0,17.743000030517578,359.7070007324219,70.67554473876953,149.00599670410156,299.6523742675781,297.4092712402344,294.2852783203125,296.1517639160156,656.4500122070312,302.9160461425781,122.0999984741211,2.103372573852539,<map object at 0x7f6c67c37748>
0,12.979999542236328,309.2607727050781,0.0,0.44999998807907104,7.510000228881836,4.9758189561543986e-05,338.61639404296875,-170.7966766357422,731.4077758789062,98493.6796875,0.0055491686798632145,118.24187469482422,239.22410583496094,124.55778503417969,0.0,0.0065299998968839645,0,8.000000093488779e-07,8.000000093488779e-07,236.21400451660156,0,748.469970703125,0,0,17.670000076293945,359.6289978027344,70.31855010986328,148.2259979248047,300.20147705078125,297.38128662109375,294.12274169921875,296.0062255859375,651.2899780273438,303.67730712890625,116.5999984741211,1.6024770736694336,<map object at 0x7f6c6800be48>
0,12.9399995803833,307.70562744140625,0.0,0.0,7.710000038146973,5.059106115368195e-05,330.1404113769531,-168.4033203125,778.3894653320312,98496.84375,0.004903035704046488,110.82677459716797,254.71043395996094,126.56948852539062,0.0,0.006490000057965517,0,0.0,0.0,234.97999572753906,0,757.0700073242188,0,0,17.58799934387207,359.55499267578125,69.95652770996094,147.43499755859375,299.2217712402344,297.3385009765625,294.0442199707031,295.8807067871094,659.1400146484375,302.5826416015625,118.86000061035156,3.1019463539123535,<map object at 0x7f6c67bd9ef0>
0,12.890000343322754,306.8166198730469,0.0,0.0,7.449999809265137,4.938020356348716e-05,317.2032775878906,-175.0721893310547,781.120849609375,98542.171875,0.00417000986635685,111.2962875366211,256.60321044921875,123.47086334228516,0.0,0.006459999829530716,0,0.0,0.0,233.78599548339844,0,763.5,0,0,17.510000228881836,359.4809875488281,69.6072769165039,146.66900634765625,298.3781433105469,297.3026123046875,293.6500244140625,295.7456359863281,665.0999755859375,301.5267028808594,116.01000213623047,2.9047253131866455,<map object at 0x7f6c67c37dd8>
0,12.84000015258789,308.8160705566406,0.0,0.0,7.179999828338623,4.93816114612855e-05,322.2206726074219,-184.46876525878906,780.0330200195312,98347.9609375,0.0038969216402620077,123.6938247680664,238.49600219726562,123.5530014038086,0.0,0.0064199999906122684,0,0.0,0.0,232.61500549316406,0,767.3200073242188,0,0,17.43600082397461,359.40899658203125,69.26317596435547,145.9149932861328,299.6553039550781,297.2481689453125,293.1833801269531,295.5682678222656,668.8099975585938,303.4505920410156,116.37000274658203,2.3049726486206055,<map object at 0x7f6c67bd94e0>
0,12.789999961853027,312.29925537109375,0.0,0.0,6.710000038146973,4.776198329636827e-05,339.3414001464844,-191.05191040039062,753.7220458984375,98374.6640625,0.004787209443747997,140.6307830810547,217.64479064941406,119.47207641601562,0.0,0.006390000227838755,0,0.0,0.0,231.4669952392578,0,765.1400146484375,0,0,17.368000030517578,359.3380126953125,68.92520141601562,145.1739959716797,301.8939514160156,297.2015380859375,293.25518798828125,295.4004211425781,667.280029296875,306.7602844238281,112.76000213623047,1.0006988048553467,<map object at 0x7f6c6861a940>
0,12.739999771118164,310.8119201660156,0.0,0.0,6.880000114440918,4.785027340403758e-05,343.6255187988281,-175.45404052734375,800.7406616210938,98266.6640625,0.005711124744266272,126.22970581054688,245.56524658203125,119.74063110351562,0.0,0.0063599999994039536,0,0.0,0.0,230.29400634765625,0,762.77001953125,0,0,17.29800033569336,359.2690124511719,68.58033752441406,144.41600036621094,301.317138671875,297.150146484375,293.60107421875,295.2989196777344,665.5800170898438,305.6066589355469,112.8499984741211,3.0073628425598145,<map object at 0x7f6c67c37668>
0,12.6899995803833,311.9904479980469,0.0,0.0,6.920000076293945,4.751592132379301e-05,364.10540771484375,-163.61090087890625,834.2067260742188,98305.1484375,0.006810890045017004,124.97181701660156,252.82998657226562,118.85675048828125,0.0,0.0063299997709691525,0,0.0,0.0,229.11700439453125,0,754.7000122070312,0,0,17.22800064086914,359.20098876953125,68.23433685302734,143.65399169921875,302.5701599121094,297.09197998046875,294.0526428222656,295.2754821777344,658.9000244140625,307.04034423828125,111.94000244140625,3.90706467628479,<map object at 0x7f6c67da2e10>
