,Albedo_inst,AvgSurfT_inst,CanopInt_inst,ECanop_tavg,ESoil_tavg,Evap_tavg,LWdown_f_tavg,Lwnet_tavg,PotEvap_tavg,Psurf_f_inst,Qair_f_inst,Qg_tavg,Qh_tavg,Qle_tavg,Qs_acc,Qsb_acc,Qsm_acc,Rainf_f_tavg,Rainf_tavg,RootMoist_inst,SWE_inst,SWdown_f_tavg,SnowDepth_inst,Snowf_tavg,SoilMoi0_10cm_inst,SoilMoi100_200cm_inst,SoilMoi10_40cm_inst,SoilMoi40_100cm_inst,SoilTMP0_10cm_inst,SoilTMP100_200cm_inst,SoilTMP10_40cm_inst,SoilTMP40_100cm_inst,Swnet_tavg,Tair_f_inst,Tveg_tavg,Wind_f_inst,geometry
0,13.420000076293945,307.87188720703125,0.0,0.0,11.020000457763672,6.325678987195715e-05,330.9063415527344,-173.34059143066406,737.3948364257812,98738.125,0.00547000952064991,110.02372741699219,213.95863342285156,158.30484008789062,0.0,0.004029999952763319,0,0.0,0.0,316.9460144042969,0,755.8099975585938,0,0,18.59000015258789,356.9020080566406,78.8462905883789,165.77200317382812,299.27069091796875,297.215087890625,294.525634765625,295.965576171875,654.3900146484375,303.0734558105469,147.2899932861328,1.9083932638168335,<map object at 0x7f69653a1690>
0,13.390000343322754,307.7984619140625,0.0,0.0,10.710000038146973,6.276801286730915e-05,331.85479736328125,-171.90869140625,746.4993896484375,98573.8359375,0.005330010317265987,110.8584976196289,219.40867614746094,156.869384765625,0.0,0.004000000189989805,0,0.0,0.0,315.4779968261719,0,759.4500122070312,0,0,18.485000610351562,356.7120056152344,78.44854736328125,164.9149932861328,299.15765380859375,297.18109130859375,294.1385498046875,295.860595703125,657.780029296875,302.9059143066406,146.14999389648438,2.000215530395508,<map object at 0x7f6964c472d0>
0,13.349998474121094,307.9185791015625,0.0,0.0,10.079999923706055,6.068899529054761e-05,330.5435791015625,-172.17608642578125,731.2218017578125,98527.96875,0.005540008656680584,115.4454116821289,222.40989685058594,151.87179565429688,0.0,0.003969999961555004,0,0.0,0.0,314.04998779296875,0,762.3900146484375,0,0,18.382999420166016,356.5299987792969,78.0615463256836,164.08200073242188,298.72235107421875,297.1392822265625,293.7752990722656,295.7217712402344,660.5800170898438,302.926025390625,141.77999877929688,1.8033726215362549,<map object at 0x7f6964c4f750>
0,13.319999694824219,308.6407470703125,0.0,0.7099999785423279,9.579999923706055,5.835818956256844e-05,330.4164123535156,-175.5166778564453,720.1878051757812,98675.578125,0.005539168603718281,117.38187408447266,220.2440948486328,145.82778930664062,0.0,0.00394000019878149,0,1.0999999631167157e-06,1.0999999631167157e-06,312.6759948730469,0,758.7100219726562,0,0,18.297000885009766,356.3529968261719,77.6865463256836,163.27200317382812,299.1114807128906,297.1012878417969,293.6027526855469,295.5762023925781,657.6300048828125,303.55731201171875,135.5399932861328,1.3024771213531494,<map object at 0x7f69653a4f50>
0,13.289999961853027,307.005615234375,0.0,0.0,9.84000015258789,5.9991059970343485e-05,323.72039794921875,-171.0733184814453,768.0294799804688,98665.7421875,0.004783035721629858,109.25677490234375,235.4004364013672,149.91949462890625,0.0,0.003909999970346689,0,0.0,0.0,311.26300048828125,0,766.280029296875,0,0,18.197999954223633,356.177001953125,77.30452728271484,162.4459991455078,298.1417541503906,297.04852294921875,293.4842224121094,295.4407043457031,664.4400024414062,302.3026428222656,140.0800018310547,2.8019464015960693,<map object at 0x7f69653ba7d0>
0,13.260000228881836,306.34661865234375,0.0,0.0,9.510000228881836,5.898020390304737e-05,310.93328857421875,-179.38218688964844,772.7408447265625,98720.5703125,0.004110009875148535,109.85629272460938,234.9732208251953,147.50086975097656,0.0,0.0038900000508874655,0,0.0,0.0,309.87200927734375,0,773.0399780273438,0,0,18.101999282836914,356.0060119628906,76.92727661132812,161.62899780273438,297.52813720703125,297.0025939941406,293.1400146484375,295.3056335449219,670.5499877929688,301.5267028808594,138.0,2.6047253608703613,<map object at 0x7f696539f750>
0,13.229999542236328,308.2060852050781,0.0,0.0,9.210000038146973,5.9281614085193723e-05,317.20068359375,-187.20877075195312,777.5830078125,98524.765625,0.0038569215685129166,120.99382781982422,218.37599182128906,148.23300170898438,0.0,0.003869999898597598,0,0.0,0.0,308.5060119628906,0,776.280029296875,0,0,18.011999130249023,355.8380126953125,76.5561752319336,160.8249969482422,298.7853088378906,296.9481506347656,292.7433776855469,295.1282653808594,673.6099853515625,303.3905944824219,139.02000427246094,2.204972743988037,<map object at 0x7f69653a1d10>
0,13.190000534057617,312.2592468261719,0.0,0.0,8.569999694824219,5.7161985751008615e-05,332.931396484375,-196.15191650390625,748.9620971679688,98542.265625,0.0048372093588113785,139.7207794189453,194.67478942871094,143.02207946777344,0.0,0.0038399999029934406,0,0.0,0.0,307.1820068359375,0,774.469970703125,0,0,17.930999755859375,355.6759948730469,76.19520568847656,160.04100036621094,301.01397705078125,296.8915100097656,292.7951965332031,294.9704284667969,672.2899780273438,307.3802795410156,134.4600067138672,0.300698846578598,<map object at 0x7f696539fb50>
0,13.15999984741211,310.0819091796875,0.0,0.0,8.869999885559082,5.825027255923487e-05,333.9455261230469,-181.4340362548828,804.630615234375,98449.4609375,0.00537112494930625,122.8497085571289,222.81524658203125,145.68063354492188,0.0,0.003819999983534217,0,0.0,0.0,305.81298828125,0,773.3900146484375,0,0,17.847000122070312,355.51300048828125,75.82233428955078,159.22999572753906,300.2971496582031,296.8301696777344,293.091064453125,294.8689270019531,671.5999755859375,305.4566650390625,136.80999755859375,2.907362699508667,<map object at 0x7f6964c4b8d0>
0,13.130000114440918,311.1704406738281,0.0,0.0,8.5600004196167,5.701592090190388e-05,355.96539306640625,-167.7108917236328,805.8267211914062,98487.9453125,0.006910889875143766,123.80181884765625,231.5599822998047,142.5367431640625,0.0,0.003800000064074993,0,0.0,0.0,304.43499755859375,0,764.75,0,0,17.76300048828125,355.35198974609375,75.44733428955078,158.41299438476562,301.35015869140625,296.761962890625,293.3826599121094,294.8254699707031,664.3400268554688,306.5903625488281,133.97999572753906,3.5070648193359375,<map object at 0x7f69653a5a90>
0,13.099998474121094,310.5132751464844,0.0,0.0,8.520000457763672,5.703898204956204e-05,351.7702941894531,-166.66378784179688,835.7416381835938,98359.59375,0.005979632958769798,117.5073013305664,239.6894989013672,142.60166931152344,0.0,0.0037799999117851257,0,0.0,0.0,303.02301025390625,0,765.52001953125,0,0,17.676000595092773,355.1910095214844,75.06433868408203,157.5749969482422,301.159912109375,296.7027893066406,293.8087158203125,294.8355712890625,665.260009765625,305.8539733886719,134.07000732421875,3.6071174144744873,<map object at 0x7f6964c49610>
0,13.0600004196167,310.42205810546875,0.0,0.0,6.820000171661377,4.876944512943737e-05,377.07635498046875,-142.7333221435547,696.222412109375,98297.2109375,0.0075806546956300735,109.24681854248047,197.97364807128906,122.0724105834961,0.0,0.003759999992325902,0,0.0,0.0,301.6820068359375,0,656.6300048828125,0,0,17.594999313354492,355.0350036621094,74.6993408203125,156.781005859375,301.823974609375,296.64996337890625,294.1797790527344,294.8866882324219,570.8400268554688,305.74798583984375,115.25,2.007261037826538,<map object at 0x7f69653a4810>
0,13.029998779296875,310.1540832519531,0.0,0.12999999523162842,6.050000190734863,4.368292502476834e-05,404.2861328125,-115.87398529052734,637.6813354492188,98276.2109375,0.0078417444601655,98.42619323730469,166.35638427734375,109.27133178710938,0.0,0.0037400000728666782,0,2.0000000233721948e-07,2.0000000233721948e-07,300.51800537109375,0,562.219970703125,0,0,17.527999877929688,354.8919982910156,74.38333892822266,156.08999633789062,302.51873779296875,296.6040954589844,294.8338623046875,294.9906005859375,488.95001220703125,305.844482421875,103.0999984741211,1.6043423414230347,<map object at 0x7f696539fe90>
0,13.0,305.8201904296875,0.0010000000474974513,1.5700000524520874,4.730000019073486,3.224955435143784e-05,428.70367431640625,-64.22136688232422,494.4620056152344,98381.8046875,0.009260009974241257,58.995723724365234,120.47278594970703,80.75199890136719,9.999999747378752e-06,0.003719999920576811,0,2.4000000848900527e-06,2.4000000848900527e-06,299.70098876953125,0,372.3399963378906,0,0,17.547000885009766,354.7659912109375,74.14334106445312,155.56700134277344,301.146240234375,296.56243896484375,295.62786865234375,295.1667785644531,323.94000244140625,302.85736083984375,74.44999694824219,2.5035457611083984,<map object at 0x7f696542d4d0>
0,13.019998550415039,305.2875671386719,0.0,0.0,4.610000133514404,2.986716390296351e-05,431.3833312988281,-57.01222610473633,474.7238464355469,98605.9375,0.009871823713183403,54.61787033081055,95.0732650756836,74.69385528564453,0.0,0.003710000077262521,0,0.0,0.0,298.8949890136719,0,323.1300048828125,0,0,17.55900001525879,354.64300537109375,73.90943908691406,155.05599975585938,300.8148193359375,296.5321960449219,296.0796813964844,295.3819580078125,281.07000732421875,302.9447937011719,70.08000183105469,2.6014275550842285,<map object at 0x7f6965379390>
0,13.029999732971191,311.3009338378906,0.0,0.0,7.039999961853027,4.917008845950477e-05,410.72955322265625,-112.2413101196289,762.093994140625,98824.359375,0.00944000668823719,96.34710693359375,267.583740234375,122.96399688720703,0.0,0.0036899999249726534,0,0.0,0.0,297.6910095214844,0,687.030029296875,0,0,17.45599937438965,354.50201416015625,73.59243774414062,154.36300659179688,303.3339538574219,296.51263427734375,296.40655517578125,295.59588623046875,597.5,305.5464172363281,115.91999816894531,2.705305576324463,<map object at 0x7f696539f490>
0,13.049999237060547,312.1991271972656,0.0,0.0,7.300000190734863,5.170095755602233e-05,373.5069580078125,-156.5472412109375,828.2620849609375,98939.4375,0.007630110252648592,105.9378890991211,265.13037109375,129.2520751953125,0.0,0.0036700000055134296,0,0.0,0.0,296.3139953613281,0,753.6099853515625,0,0,17.364999771118164,354.35198974609375,73.2224349975586,153.5489959716797,303.9563903808594,296.5107116699219,296.5994873046875,295.8103942871094,655.27001953125,306.7141418457031,121.94999694824219,3.207697629928589,<map object at 0x7f69653a81d0>
